aalib 1.4rc5-14
abseil-cpp 20211102.0-2
accountsservice 22.08.8-2
acl 2.3.1-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 42.0+r1+gc144c3d75-1
alacritty 0.10.1-2
albert 0.17.2-2
alsa-card-profiles 1:0.3.51-1
alsa-lib 1.2.6.1-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.6.3-1
alsa-utils 1.2.6-1
android-file-transfer 4.2-2
ani-cli-git r537.a0e2fb9-1
ant-gtk-theme 1.3.0-5
anydesk-bin 6.1.1-5
aom 3.3.0-1
apg 2.2.3-5
archlinux-keyring 20220424-1
argon2 20190702-4
aria2 1.36.0-1
asciidoc 10.2.0-1
at-spi2-atk 2.38.0-1
at-spi2-core 2.44.1-1
atk 2.38.0-1
atkmm 2.28.2-2
attica 5.94.0-1
attr 2.5.1-2
audit 3.0.8-1
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
awesome-terminal-fonts 1.1.0-4
axel 2.17.11-1
ayatana-ido 0.9.1-2
babl 0.1.90-2
base 2-2
bash 5.1.016-1
bat 0.20.0-2
bc 1.07.1-4
bcg729 1.1.1-1
betterlockscreen 4.0.4-1
bind 9.18.3-1
binutils 2.38-5
bison 3.8.2-4
blas 3.10.1-1
blueman-git 2.2.1.r70.g5ddaf3ba-1
bluez 5.64-2
bluez-libs 5.64-2
bluez-utils 5.64-2
bmon 4.0-4
boost-libs 1.78.0-2
box2d 2.4.1-1
brave-bin 1:1.39.111-1
brightness-controller-git 2.3.4.r288.cd8cc61-1
brightnessctl 0.5.1-2
brotli 1.0.9-8
btrfs-progs 5.17-1
bubblewrap 0.6.2-1
byobu 5.133-3
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.79-1
ca-certificates-utils 20210603-1
cabal-install 3.4.0.0-143
cairo 1.17.6-2
cairomm 1.14.3-2
cantarell-fonts 1:0.303.1-1
ccze 0.2.1-12
cdparanoia 10.2-8
chromaprint 1.5.1-3
chromium 102.0.5005.61-1
clucene 2.3.3.4-12
cmake 3.23.2-1
cmake-extras 1.6-1
cmatrix 2.0-2
code 1.67.2-1
colord 1.4.6-1
confuse 3.3-3
conky 1.12.2-2
coreutils 9.1-1
cryptsetup 2.4.3-2
cups 1:2.4.2-1
cups-filters 1.28.15-1
curl 7.83.1-1
cython 0.29.30-1
dav1d 1.0.0-1
db 5.3.28-5
dbus 1.14.0-1
dbus-glib 0.112-2
dbus-python 1.2.18-3
dconf 0.40.0-1
desktop-file-utils 0.26-2
device-mapper 2.03.16-1
dialog 1:1.3_20220414-1
diffutils 3.8-1
discord 0.0.17-1
dkms 3.0.3-1
dmraid 1.0.0.rc16.3-13
dnsmasq 2.86-1
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
dosfstools 4.2-2
double-conversion 3.2.0-1
dstat 0.7.4-5
dunst 1.8.1-1
e2fsprogs 1.46.5-3
earbuds 0.1.9-1
efibootmgr 17-2
efivar 38-2
egl-wayland 2:1.1.9+r3+g582b2d3-1
eglexternalplatform 1.1-2
electron17 17.4.3-1
element-desktop 1.10.13-1
element-web 1.10.13-1
emacs 28.1-7
enchant 2.3.3-1
etckeeper 1.18.17-1
eva 0.3.0-1
exa 0.10.1-5
exiv2 0.27.5-3
exo 4.16.3-1
expac 10-5
expat 2.4.8-1
extra-cmake-modules 5.94.0-1
faac 1.30-3
faad2 2.10.0-1
faba-icon-theme-git 4.3.r0.g6d7ebd2-1
fakeroot 1.29-1
fcron 3.3.0-1
fd 8.4.0-1
feh 3.8-2
ffcall 2.4-2
ffmpeg 2:5.0-7
ffmpeg4.4 4.4.1-5
fftw 3.3.10-2
file 5.41-1
filesystem 2021.12.07-1
findutils 4.9.0-1
firefox 100.0.2-1
flac 1.3.4-2
flex 2.6.4-3
fluidsynth 2.2.7-1
fontconfig 2:2.14.0-1
freeglut 3.2.2-2
freetype2 2.12.1-1
fribidi 1.0.12-1
fuse-common 3.11.0-1
fuse2 2.9.9-4
fuse3 3.11.0-1
fzf 0.30.0-3
garcon 4.16.1-1
gawk 5.1.1-1
gc 8.2.0-3
gcc 12.1.0-2
gcc-libs 12.1.0-2
gcr 3.41.0-2
gd 2.3.3-4
gdbm 1.23-1
gdk-pixbuf-xlib 2.40.2-1
gdk-pixbuf2 2.42.8-1
gegl 0.4.36-3
gendesk 1.0.9-3
gettext 0.21-2
ghc 9.0.2-1
ghc-libs 9.0.2-1
ghostscript 9.56.1-1
giflib 5.2.1-2
gimp 2.10.30-3
girara 0.3.7-1
git 2.36.1-1
glib-networking 1:2.72.0-1
glib2 2.72.1-1
glib2-docs 2.72.1-1
glibc 2.35-5
glibmm 2.66.4-1
glslang 11.9.0-1
glu 9.0.2-3
gmp 6.2.1-2
gnome-backgrounds 42.0-1
gnome-themes-extra 3.28+r6+g45b1d457-1
gnu-free-fonts 20120503-8
gnu-netcat 0.7.1-8
gnupg 2.2.35-2
gnuplot 5.4.3-5
gnutls 3.7.5-2
go 2:1.18.2-1
gobject-introspection 1.72.0-1
gobject-introspection-runtime 1.72.0-1
gparted 1.4.0-1
gpgme 1.17.1-1
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.9-1
graphene 1.10.8-1
graphite 1:1.3.14-2
graphviz 3.0.0-1
grep 3.7-1
groff 1.22.4-7
grub 2:2.06-5
gsettings-desktop-schemas 42.0-1
gsfonts 20200910-2
gsm 1.0.19-1
gssdp 1.4.0.1-1
gst-libav 1.20.2-1
gst-plugins-bad 1.20.2-1
gst-plugins-bad-libs 1.20.2-1
gst-plugins-base 1.20.2-1
gst-plugins-base-libs 1.20.2-1
gst-plugins-good 1.20.2-1
gstreamer 1.20.2-1
gtk-doc 1.33.2-1
gtk-sharp-3 2.99.3-4
gtk-update-icon-cache 1:4.6.4-1
gtk2 2.24.33-2
gtk3 1:3.24.34-1
gtkglext 1.2.0-13
gtkmm 1:2.24.5-4
gtkmm3 3.24.6-1
gts 0.7.6.121130-2
guile 2.2.7-2
gumbo-parser 0.10.1-2
gupnp 1:1.4.3-1
gupnp-igd 1.2.0-2
gvfs 1.50.2-1
gvfs-gphoto2 1.50.2-1
gvfs-mtp 1.50.2-1
gzip 1.12-1
harfbuzz 4.3.0-1
harfbuzz-icu 4.3.0-1
haskell-adjunctions 4.4.1-2
haskell-aeson 1.5.6.0-106
haskell-alsa-core 0.5.0.1-17
haskell-alsa-mixer 0.3.0-73
haskell-annotated-wl-pprint 0.7.0-25
haskell-ansi-terminal 0.11.1-29
haskell-ansi-wl-pprint 0.6.9-306
haskell-appar 0.1.8-13
haskell-asn1-encoding 0.9.6-171
haskell-asn1-parse 0.9.5-171
haskell-asn1-types 0.3.4-150
haskell-assoc 1.0.2-140
haskell-async 2.2.4-59
haskell-attoparsec 0.14.4-18
haskell-attoparsec-iso8601 1.0.2.1-23
haskell-auto-update 0.1.6-243
haskell-base-compat 0.12.1-1
haskell-base-compat-batteries 0.12.1-21
haskell-base-orphans 0.8.6-39
haskell-base16-bytestring 1.0.2.0-24
haskell-base64-bytestring 1.2.1.0-45
haskell-basement 0.0.14-1
haskell-bifunctors 5.5.12-4
haskell-blaze-builder 0.4.2.2-2
haskell-blaze-html 0.9.1.2-168
haskell-blaze-markup 0.8.2.8-74
haskell-byteable 0.1.1-25
haskell-byteorder 1.0.4-24
haskell-call-stack 0.4.0-73
haskell-casa-client 0.0.1-451
haskell-casa-types 0.0.2-245
haskell-case-insensitive 1.2.1.0-147
haskell-cereal 0.5.8.2-2
haskell-clock 0.8.3-25
haskell-cmdargs 0.10.21-4
haskell-colour 2.3.6-98
haskell-comonad 5.0.8-143
haskell-conduit 1.3.4.2-54
haskell-conduit-extra 1.3.5-233
haskell-connection 0.3.1-195
haskell-constraints 0.13.3-13
haskell-contravariant 1.5.5-3
haskell-cookie 0.4.5-12
haskell-cryptohash-sha256 0.11.102.1-35
haskell-cryptonite 0.30-14
haskell-cryptonite-conduit 0.2.2-488
haskell-data-default 0.7.1.1-224
haskell-data-default-class 0.1.2.0-24
haskell-data-default-instances-containers 0.0.1-36
haskell-data-default-instances-dlist 0.0.1-237
haskell-data-default-instances-old-locale 0.0.1-36
haskell-data-fix 0.3.2-46
haskell-dbus 1.2.22-57
haskell-dbus-hslogger 0.1.0.1-324
haskell-digest 0.0.1.3-2
haskell-distributive 0.6.2.1-146
haskell-dlist 1.0-159
haskell-easy-file 0.2.2-19
haskell-echo 0.1.4-4
haskell-ed25519 0.0.5.0-24
haskell-edit-distance 0.2.2.1-151
haskell-enclosed-exceptions 1.0.3-197
haskell-erf 2.0.0.0-24
haskell-extensible-exceptions 0.1.1.4-36
haskell-extra 1.7.10-54
haskell-fast-logger 3.1.1-14
haskell-file-embed 0.0.15.0-1
haskell-filelock 0.1.1.5-136
haskell-free 5.1.8-5
haskell-fsnotify 0.3.0.1-281
haskell-generic-deriving 1.14.1-42
haskell-ghc-bignum-orphans 0.1.1-1
haskell-githash 0.1.6.2-99
haskell-glob 0.10.2-34
haskell-hackage-security 0.6.0.1-290
haskell-hashable 1.4.0.2-6
haskell-hi-file-parser 0.1.2.0-83
haskell-hinotify 0.4.1-115
haskell-hourglass 0.2.12-190
haskell-hpack 0.34.5-19
haskell-hslogger 1.3.1.0-170
haskell-hspec 2.9.6-20
haskell-hspec-core 2.9.6-18
haskell-hspec-discover 2.9.6-9
haskell-hspec-expectations 0.8.2-227
haskell-http 4000.4.0-20
haskell-http-api-data 0.4.3-124
haskell-http-client 0.7.11-22
haskell-http-client-tls 0.3.6.1-14
haskell-http-conduit 2.3.8-190
haskell-http-download 0.2.0.0-448
haskell-http-types 0.12.3-234
haskell-hunit 1.6.2.0-115
haskell-indexed-traversable 0.1.2-2
haskell-indexed-traversable-instances 0.1.1-24
haskell-infer-license 0.2.0-193
haskell-integer-logarithms 1.0.3.1-6
haskell-invariant 0.5.6-6
haskell-iproute 1.7.12-22
haskell-kan-extensions 5.2.4-4
haskell-language-server-static 1.7.0.0-1
haskell-lens 5.1.1-2
haskell-libmpd 0.10.0.0-92
haskell-libyaml 0.1.2-218
haskell-lift-type 0.1.0.1-4
haskell-lifted-async 0.10.2.2-45
haskell-lifted-base 0.2.3.12-211
haskell-lukko 0.1.1.3-91
haskell-megaparsec 9.2.1-2
haskell-memory 0.17.0-10
haskell-microlens 0.4.12.0-5
haskell-microlens-mtl 0.2.0.1-17
haskell-microlens-th 0.4.3.10-5
haskell-mime-types 0.1.0.9-14
haskell-mintty 0.1.3-2
haskell-monad-control 1.0.3.1-46
haskell-monad-logger 0.3.36-205
haskell-monad-loops 0.4.3-25
haskell-mono-traversable 1.0.15.3-51
haskell-mustache 2.4.1-20
haskell-neat-interpolation 0.5.1.3-48
haskell-netlink 1.1.1.0-13
haskell-network 3.1.2.7-22
haskell-network-bsd 2.8.1.0-150
haskell-network-uri 2.6.4.1-79
haskell-old-locale 1.0.0.7-30
haskell-old-time 1.1.0.3-30
haskell-onetuple 0.3.1-19
haskell-only 0.1-22
haskell-open-browser 0.2.1.0-28
haskell-optparse-applicative 0.16.1.0-237
haskell-optparse-generic 1.4.7-31
haskell-optparse-simple 0.1.1.4-131
haskell-pantry 0.5.4-30
haskell-parallel 3.2.2.0-17
haskell-parsec-numbers 0.1.0-18
haskell-parser-combinators 1.3.0-4
haskell-path 0.9.2-40
haskell-path-io 1.7.0-13
haskell-path-pieces 0.2.1-30
haskell-pem 0.2.4-227
haskell-persistent 2.13.3.1-13
haskell-persistent-sqlite 2.13.0.3-148
haskell-pretty-hex 1.1-9
haskell-primitive 0.7.3.0-50
haskell-profunctors 5.6.2-85
haskell-project-template 0.2.1.0-209
haskell-quickcheck 2.14.2-312
haskell-quickcheck-io 0.2.0-494
haskell-random 1.2.1.1-10
haskell-reflection 2.1.6-140
haskell-regex-base 0.94.0.2-2
haskell-regex-compat 0.95.2.1-6
haskell-regex-posix 0.96.0.1-3
haskell-resolv 0.1.2.0-145
haskell-resource-pool 0.2.3.2-240
haskell-resourcet 1.2.5-2
